,Tweet
4888,There's no viable government policy in place to gove suitable jobs to #veterans. The #AgnipathScheme  will further exacerbate matters. https://t.co/4hcmHVX4T0
4889,Before you wholeheartedly endorse the #AgnipathScheme read and ponder over the sad experiences of these veterans. https://t.co/JKmkN8DmBe
4890,"Bravo! A great Initiative Indeed!  Our current Government Announces #AgnipathScheme for 4 Years’ Recruitment of soldiers into Armed Forces. Citizens from 17.5 to 21 Years of Age can apply for the scheme. 
 #AgnipathGameChanger https://t.co/WSgtgcYF0n"
4891,"In a transformative reform,Union Govt clears #Agnipath recruitment scheme for Indian youth to serve in armed forces and youth trained under it will be called as #Agniveers. Agniveers will not only serve d country but also contribute to nation building. 
 #AgnipathGameChanger https://t.co/DffUl8BHr1"
4892,"Indian Army Female AgniVeer Recruitment
 #AgnipathScheme #Agnipath
#Agniveers #insiders #NCT127 #ImranKhan #HANBIN #ShaheenShahAfridi #Dugin #LUFC #Pedoputin #BTS_Dynamite #AlchemyOfSouls #HouseOfTheDragonHBO https://t.co/SqrlQRDhod"
4893,"NTERACTION WITH ESM  AT ARAGAM- 20 AUG 22
In continuation with the policy of constant touch and support to the veterans, an interaction with Ex Servicemen of the area was conducted by Aragam Army Camp. 
#agnipath
#standwithindianarmy
#stormythirteen https://t.co/6aHncffr4v"
4894,"NTERACTION WITH ESM  AT ARAGAM- 20 AUG 22
In continuation with the policy of constant touch and support to the veterans, an interaction with Ex Servicemen of the area was conducted by Aragam Army Camp. 
#agnipath
#standwithindianarmy
#stormythirteen https://t.co/y4FiabOow3"
4895,"#agnipath
#IndianArmy organised awareness drive on #AgnipathScheme
for 210 #NCC Cadets from various parts of #JammuKashmir.
Online Registration commenced for the rally from 05 Aug to 03 Sep for aspiring youth of #JammuDivision.

@HQ_DG_NCC

@PIBSrinagar"
4896,"#agnipath
#IndianArmy organised awareness drive on #AgnipathScheme
for 210 #NCC Cadets from various parts of #JammuKashmir.
Online Registration commenced for the rally from 05 Aug to 03 Sep for aspiring youth of #JammuDivision.

@HQ_DG_NCC

@PIBSrinagar"
4897,"#agnipath
#IndianArmy organised awareness drive on #AgnipathScheme
for 210 #NCC Cadets from various parts of #JammuKashmir.
Online Registration commenced for the rally from 05 Aug to 03 Sep for aspiring youth of #JammuDivision.

@HQ_DG_NCC
@PIBSrinagar"
4898,Will @anandmahindra and the @TataCompanies come forward to offer ex-Havildar Samar Pandey a better job? Let this be a test case for corporate commitment to the #AgnipathScheme . https://t.co/dqbCT5hNtb
4899,"NTERACTION WITH ESM  AT ARAGAM- 20 AUG 22
In continuation with the policy of constant touch and support to the veterans, an interaction with Ex Servicemen of the area was conducted by Aragam Army Camp. 
#agnipath
#standwithindianarmy
#stormythirteen https://t.co/U4LdpYpuAM"
4900,"A retd Hav from 19th Bn the Guards. Applaud his honesty.
Despite 18 years service in Siachen and CI ops he's only been able to get the job of a security guard. What hope for an #Agniveer ? Let's look after our #veterans better please.

 https://t.co/jUUixbyQXc via @IndianExpress"
4901,"#IndianArmy organised Awareness and motivational lecture on Agnipath scheme for local youth of waterkhai village.

#IndianArmy
#Agnipath
#Agniveer
#Kashmir
#ProsperousKashmir
#PeacefulKashmir https://t.co/BwC51RtdSp"
4902,"#IndianArmy organised Awareness and motivational lecture on Agnipath scheme for local youth of waterkhai village.

#IndianArmy
#Agnipath
#Agniveer
#Kashmir
#ProsperousKashmir
#PeacefulKashmir https://t.co/1uq8p45lPp"
4903,"#IndianArmy organised Awareness and motivational lecture on Agnipath scheme for local youth of waterkhai village.

#IndianArmy
#Agnipath
#Agniveer
#Kashmir
#ProsperousKashmir
#PeacefulKashmir https://t.co/U02I9U15jr"
4904,"#IndianArmy organised Awareness and motivational lecture on Agnipath scheme for local youth of waterkhai village.

#IndianArmy
#Agnipath
#Agniveer
#Kashmir
#ProsperousKashmir
#PeacefulKashmir https://t.co/OPA9gSnwIY"
4905,"If you want to learn, earn and serve the nation, then become a #Agniveer.
#AgnipathGameChanger https://t.co/BOxQPPYCQl"
4906,"A true friend will always choose to walk beside you
#IndianArmy, a symbol of friendship and peace. #AgnipathScheme #Agniveer #الهلال_الميريا #هيلدر_كوستا #رامي_عياش #السعوديه_مصر https://t.co/hzv6pofz7L"
4907,"A retired Havildar from 19th Battalion the Guards. Applaud his honesty.
Despite 18 years service in Siachen and counter-insurgency operations he's only been able to get the job of a security guard. What hope for an #Agniveer ? Let's look after our #veterans better please. https://t.co/kjg2vLL9wH"
4908,"Security stepped up at #Delhi's border areas as farmers set to hold panchayat at #JantarMantar on MSP, #Agnipath

https://t.co/cZJBJTGdNC"
4909,"This Issue Brief by @LaxmanKBehera &amp; Gp. Capt. Vinay Kaushal (Retd) outlines the financial case for #Agnipath, other than the often-cited imperative of infusing youth into the forces. https://t.co/gbpTmMmsMH"
4910,"The Divisional Commissioner #Kashmir, Pandurang K pole appealed to aspirants of #Agniveer of Kashmir division to participate enthusiastically in the #recruitment being conducted from 07 December to 10 December 2022 at #Jalandhar for eligible candidates of districts #JammuKashmir. https://t.co/QMORvNQG1F"
4911,We are ready for our internship after FMG Exam at border areas and support your idea of #AgnipathScheme. We are ready to go to a war zone in Ukraine for our degree why not die for India if we have to die for our degree @PMOIndia @TS_SinghDeo @sidhant @DrSJaishankar
4912,"Optimization is always efficient,if you are a science student then you can understand this. So keep your ""Foul Gyan"" in your mouth and see what is going on for the Development of the country #Agnipath
#AlchemyOfSouls #LUFC #Dugin #AfterLIKE #MileApo #HouseOfTheDragonHBO #NCT127"
4913,"One lady yatri fell while moving for Machhail Mata Yatra in district #Kishtwar. Medical Aid Post setup by #IndianArmy provided immediate #FirstAid.Medical Post setup by #indianArmy unit has provided med aid to more than 2,500 patients since the start of Yatra. 
#AgnipathScheme https://t.co/BtFNKb9E6y"
4914,@SanjeevSanskrit @agniveer @GemsOfBollywood All the best Sanjeev ji.  You are an inspiration as is #Agniveer
4915,"Security Stepped Up At Delhi's Border Areas As Farmers Set To Hold Panchayat At Jantar Mantar On MSP, Agnipat

#delhi #FarmerProtest #FarmerProtests #JantarMantar #Agnipath 

📎 https://t.co/uAaDDwSvGN https://t.co/iq2fE0yw3l"
4916,"#AgnipathRecruitmentRally was held at Hisar on 18 Aug 22. Lt Gen Vijay B Nair, COS Western Command witnessed the recuitment rally under Maj Gen Ranjan Mahajan, ZRO Ambala. The enthusiasm for the #AgnipathScheme was evident in the ""josh of candidates"".

#IndianArmy 
@adgpi https://t.co/otCkLsOUOv"
4917,I see future of #Agniveer  in this small clip of #BhavyaRoy  😭😭
4918,"We are ready for our internship after FMG Exam at border areas and support your idea of #AgnipathScheme. We are ready to go to a war zone in Ukraine for our degree why not die for India if we have to die for our country.

#saveukrainefmgs @narendramodi @DrSJaishankar @PMOIndia https://t.co/RlXoeWRAaE"
4919,"We are ready for our internship after FMG Exam at border areas and support your idea of #AgnipathScheme. We are ready to go to a war zone in Ukraine for our degree why not die for India 🇮🇳 if we have to die for our country.
#saveukrainefmgs @narendramodi @DrSJaishankar @PMOIndia"
4920,"The most anticipated military reforms is here. #Agnipath will not only increase competitiveness but also create inclusive participation in defence forces 
#AgnipathGameChanger https://t.co/UwGvxahWQf"
4921,"This Issue Brief by @LaxmanKBehera &amp; Gp. Capt. Vinay Kaushal (Retd) outlines the financial case for #Agnipath, other than the often-cited imperative of infusing youth into the forces. https://t.co/6Y4KoHsch0"
4922,"#Agniveer
Watching the situation how aspirants for agniveer being treated, pains my heart. They are working hard though for whatever u offer."
4923,"#JammuAndKashmir: Divisional Commissioner Kashmir, Pandurang K pole appeals to aspirants to participate enthusiastically in the #Agniveer recruitment rally for Kashmir division.

It will be conducted from 07 December to 10 December this year at Jalandhar.

#AgnipathScheme"
4924,"#JammuAndKashmir: Divisional Commissioner Kashmir, Pandurang K pole appeals to aspirants to participate enthusiastically in the #Agniveer recruitment rally for Kashmir division.

It will be conducted from 07 December to 10 December this year at Jalandhar.

#AgnipathScheme"
4925,"nation &amp; the society. He also updated veterans about various ongoing operational &amp; admin activities/ focus areas of  Navy, including  #Agnipath scheme. He assured them of full  support in resolving all issues related to #Sparsh #ECHS. #SainikWelfare #HarKaamDeshKeNaam"
4926,"@VlKASPR0NAM0 More like @adgpi ! @RSSorg @BJP4India just beggared Indian soldier of his pension in #Agnipath. From 1948 to today only guardian of Jammu, Kashmir, and Ladakh. Rest all bogus freeloaders."
4927,"No economy sans security. Bean counter @narendramodi @DefenceMinIndia  beggared @adgpi soldier in #Agnipath, while unable to bring #defencebudget #defencereform #intelligencereform with teeth. Paralysis on @HQ_IDS_India #CDS, NSA sans #nationalsecuritydoctrine #8YearsOfModiGovt"
4928,"@Hardeepchauhan3 Agniveer age is 17-21 yrs next year onwards .
Considering Corona lockdown for last two years the age limit for this year #AgnipathScheme is 17-23 years .
And for every job opportunity there will be competition."
4929,"#Registration open for #Agniveer general duty (women) in corps of #MilitaryPolice at RO (HQ) #Jalandhar

#DivCom #Kashmir appeals #aspirants to register for #Recruitment

@diprjk
@DivisionalComm1 https://t.co/KkXP53aC3o"
4930,@aajtak @arvindojha #agniveer will be treated this way after 4 years!
4931,"@abhinavpratap_s Another Fact, after 4 years #agniveer be abused outside gate if they don't open gate on time!"
4932,"@richaanirudh @noidapolice @Uppolice @dgpup No special program needed, after 4 years all society/apartments will get well behaved #agniveer outside their apartment as security guard, till then please bear with bihari/UP people...."
4933,"Having announced #Agnipath to reform the recruitment of soldiers, the government now needs to bring in a similar scheme to reform the officer cadre, which, given its size, structure &amp; age profile, is ripe for reform: @LaxmanKBehera &amp; @Vinay_AFkaushal https://t.co/GKZmdlRuzC"
4934,"#IndianArmy organised #Agnipath pre-recruitment practice for upcoming #Agniveer &amp; entrance test practice at #Vilgam, #Kupwara District. 40 young aspirants underwent a series of tests.
#Kashmir 
#NayaKashmir 
@manojsinha_
@majorgauravarya
@AdityaRajKaul https://t.co/F6Uz3y7W2s"
4935,"Selection of candidates for defence services under the #Agnipath scheme commenced at the Anna Stadium, #Nagercoil. According to the officials, the selection process would be held between 12 a.m. and 6 a.m. daily till September 1.
https://t.co/7fHbMUEf5q"
4936,Agniveer needed in societies.... Legend Modi ji... #Agnipath https://t.co/tJXQ3ntxdg
4937,"@trishakticorps @adgpi @easterncomd In the hinterland of Ex servicemen a noble initiative to train youths #Agniveer 
#AgniveerRecruitment2022"
4938,This is the future Modi has envisioned for #Agniveer. https://t.co/gIEYh4gDsA
4939,"#Agnipath will help make India’s armed forces younger and #tech-savvy, and will free up precious resources that can be used for much-needed defence modernisation: @LaxmanKBehera &amp; @Vinay_AFkaushal https://t.co/gbpTmME3Ef"
4940,"#Agniveer Rally successfully concluded at Hassan.
Total Registration: 27,152 
Participation: 18,314 
Remarkable coordination &amp; close support from civil administration ensured smooth, fair conduct of the Rally. @DefenceMinIndia @SpokespersonMoD @PMOIndia @HMOIndia @PIBBengaluru https://t.co/uW1tB6ngFU"
4941,"#IndianArmy organised #Agnipath pre-recruitment practice for upcoming #Agniveer &amp; entrance test practice at #Vilgam, #Kupwara District. 40 young aspirants underwent a series of tests.
#Kashmir 
#NayaKashmir 
@manojsinha_ 
@majorgauravarya 
@AdityaRajKaul https://t.co/acULLDoExa"
4942,"@Prateek_bisht28 @pushkardhami @uttarakhandcops @AshokKumar_IPS @adgpi @Cyberdost 
lot of handles are active putting out agenda videos on #AgnipathScheme .
Action must be taken against these who are trying to demoralise youth when 40000 Agnipath vacancies are in process of filling after 2 yrs @pushkardhami"
4943,"63,360 candidates have registered under various categories of Agniveer Soldier General Duty, Technical, Clerk/SKT, Tradesman across the 7 districts of #Uttarakhand under ARO Lansdowne. 

Civil Admin has provided support and mobilised maximum resources.

#Agnipath

(2/2) https://t.co/C782nOOJo5"
4944,@trishakticorps @adgpi @easterncomd Kudos to the #Rhinos of #BlackCatDivision spreading awareness about and training local youth for #Agniveer entry into the #IndianArmy..
4945,@SwatiJaiHind @noidapolice Ask her to join #agniveer &amp; deploy her to China Border.....
4946,"“SERVE THE NATION WITH PRIDE""

Aspiring #Agniveers from hinterland &amp; villages around Bagdogra were motivated &amp; trained for recruitment through #Agnipath Scheme by #TrishaktiCorps # BlackCatDiv at Bengdubi Military Station.

@adgpi 
@easterncomd https://t.co/vvrRClBKkB"
4947,"He also updated the naval veterans about various ongoing op and admin activities/ focus areas of the Navy, including the #Agnipath scheme. He assured them of his full support in resolving all issues related to #Sparsh #ECHS and other initiatives. #SainikWelfare #HarKaamDeshKeNaam https://t.co/RGuWt9L1vE"
4948,"Indian Army has issued admit cards to youths of #Hamirpur, #Utta and #Bilaspur districts. They can download the admit card for #Agniveer #recruitment from the site of the Indian Army. 

#HimachalPradesh  #himachalnews  @adgpi https://t.co/KTyX57YpO9"
4949,"@NarundarM And those #Agniveer guards will face this
https://t.co/LbTCR1qvi6"
4950,"Indian Army invites applications for Agniveer Recruitment Rally for ARO Jammu At Jorawar Stadium, Sunjuwan Military Station, Jammu for eligible candidates of districts Udhampur, Rajouri, Poonch, Reasi, Ramban, Doda, Kishtwar, Jammu, Samba Kathua #IndianArmy #Agniveer #Recruitment https://t.co/IkGNkc5EvW"
4951,"Indian Army invites applications for Agniveer Recruitment Rally for ARO Jammu At Jorawar Stadium, Sunjuwan Military Station, Jammu for eligible candidates of districts Udhampur, Rajouri, Poonch, Reasi, Ramban, Doda, Kishtwar,Jammu,Samba Kathua #IndianArmy #Agniveer #Recruitment https://t.co/nD3beQU6l4"
4952,"A Pre Recruitment training cum entrance test practice on Agnipath scheme for local youth was organised at Vilgam.

#IndianArmy
#Agnipath
#Agniveer
#Kashmir
#ProsperousKashmir
#PeacefulKashmir https://t.co/zNo4hyNEhp"
4953,"A Pre Recruitment training cum entrance test practice on Agnipath scheme for local youth was organised at Vilgam.

#IndianArmy
#Agnipath
#Agniveer
#Kashmir
#ProsperousKashmir
#PeacefulKashmir https://t.co/OJmxrXKVV5"
4954,"#UPI 
#UPIpayment 
We pay ATM charges but use UPI more. Lesser cash withdrawal via paying online.

Is that ATM charges not enough
That SMS charges is not enough
Direct, indirect taxes aren't enough
No pension no gratuity to #Agniveer is not enough
https://t.co/pAxdtojymX"
4955,"A meaningful discussion on the #AgnipathScheme with @ambkcsingh, @MajGenBishamber &amp; @kuldip_sindhu. Can watch the full video at https://t.co/bLsbHHP1Nd @JayantkiJBaat https://t.co/raCRZG6J36"
4956,"#Agniveer Recruitment Rally was organized in Uttrakhand's Kotdwar.

Participants have alleged that from a Batch of 300 Youths, Only 15-18 were Selected while Before Agniveer, This no. Used to be 35-40."
4957,"#BREAKING: Federal interior minister @RanaSanaullahPK reveals that @ICT_Police taking advice from legal department that either speech of @ImranKhanPTI be made part of the existing case or a separate #FIR need to be registered.
#Agniveer #Pakistan"
4958,"If you want to learn, earn and serve the nation, then become a #Agniveer.
#AgnipathGameChanger https://t.co/YpqugMnTpS"
4959,"If you want to learn, earn and serve the nation, then become a #Agniveer.
#AgnipathGameChanger https://t.co/gd9rVCiWvS"
4960,"A Pre Recruitment training cum entrance test practice on Agnipath scheme for local youth was organised at Vilgam.
#IndianArmy
#Agnipath
#Agniveer
#Kashmir
#ProsperousKashmir
#PeacefulKashmir https://t.co/PSoYR3jrjw"
4961,"Justice for defence students conduct Army pending exam and airforce enrollment 🙏🇮🇳⚔️
#AgnipathScheme 
#जनता_आपको_बदल_देगी_मोदी 
#PMOIndia @DefenceMinIndia 
@sudhirchaudhary @anjanaomkashyap @ravishndtv @ABPNews @News18India @CNNnews18 @BBCBreaking 
https://t.co/RvohRp2lhg"
4962,"MP/MLA of rulling party who get the pension for life time in just 5 yr tenure describe the benifits of 4 yr #Agniveer service without pension 🤣

बस सोच रहा था 🤔

#Agniveer #bjp #Congress"
4963,"#IndianArmy
#TigerDivision organised  
an awareness drive to acquaint students of Higher Sec School Bhour, Chatha #Jammu with service terms of #AgnipathScheme.
#AgniveerRecruitment2022 

@SpokespersonMoD 
@adgpi 
@PIBSrinagar 
@westerncomd_IA https://t.co/WlgPWcChOs"
4964,"#Agnipath will help make India’s armed forces younger and #tech-savvy, and will free up precious resources that can be used for much-needed defence modernisation: @LaxmanKBehera &amp; @Vinay_AFkaushal https://t.co/GKZmdlzTb2"
4965,"Indian Army is spreading awareness on the #AgnipathScheme &amp; also providing training to the #Agniveer aspirants.

Youth must grab this opportunity &amp; transform their lives. https://t.co/RNyRNB8dlX"
4966,Gratitude to the #Indianarmy for enlightening the youth regarding the transformative #AgnipathScheme &amp; motivating them to serve the nation. https://t.co/FdW8L0doXI
4967,#AgnipathScheme is indeed an opportunity for the youth aspiring to join Armed Forces. They must get themselves registered &amp; fulfill their dreams. https://t.co/GZpYnVF2xx
4968,"This transformative scheme is aimed at engaging the youth in a constructive manner &amp; motivating them to serve the nation as #Agniveers.
#AgnipathScheme https://t.co/WNWAYKT64D"
4969,"#जनता_आपको_बदल_देगी_मोदी
@rajnathsingh @PMOIndia @DefenceMinIndia @ANI @rashtrapatibhvn 
@AmitShah
@AmitShahOffice
@narendramodi
@DelhiHigh
# Desh ko bachao...
#Justice for Army Airfoce Students 
#Agnipath vapis lo..."
4970,"@DefenceMinIndia #JusticeForArmyAirforceStudents
#जनता_आपको_बदल_देगी_मोदी
Do justice with 1.5 lacks students whose recruitments have been cancel against #AgnipathScheme https://t.co/oGQV5zDlSf"
4971,"A very good initiative to motivate the youth to join the Indian Armed forces as #Agniveer.

A Transformative Scheme which provides an opportunity to the youth to fulfill their dream of joining the #IndianArmy

#Agnipath #sundayvibes 
@adgpi @ChinarcorpsI… https://t.co/8f3jTkr4yQ"
4972,"This Issue Brief by @LaxmanKBehera &amp; Gp. Capt. Vinay Kaushal (Retd) outlines the financial case for #Agnipath, other than the often-cited imperative of infusing youth into the forces. https://t.co/gbpTmMmsMH"
4973,"A very good initiative to motivate the youth to join the Indian Armed forces as #Agniveer.

A Transformative Scheme which provides an opportunity to the youth to fulfill their dream of joining the #IndianArmy

#Agnipath #sundayvibes 
@adgpi @ChinarcorpsIA @SumitDefence https://t.co/KgKoShIJAI"
4974,"Some glimpses of Army Recruitment Rally being held in Rajput Regiment Centre, Fatehgarh for recruitment of #Agniveers from 12 districts under ARO Bareilly.

There was great enthusiasm amongst youth who participated in the rally..

#Agnipath

@SpokespersonMoD https://t.co/7rnFBKhRqY"
4975,"#IndianArmy conducted Motor Driving course to upskill the youth of #Kishtwar. On culmination of course &amp; driving test the youth were given Driving License &amp; certificate. ARTO Kishtwar graced the occasion.
#Agniveer 
#2YearswithDynamite 
#Usykvsjoshua2 
#UsykJoshua2 
#katliam https://t.co/feeQx5bQxD"
4976,"Indian Army organised Sadbhavana Diwas Cultural Programme at Govt Middle School, Satkoji.

#IndianArmy
#SadbhavanaDiwas
#Kashmir
#ProsperousKashmir
#PeacefulKashmir
#CultureOfKashmir 
#Agniveer 
#katliam 
#Usykvsjoshua2 https://t.co/vNx4l86uA9"
4977,@ttindia It’s called #ClimateChange and one has to wonder how much those three lives will cost the @adgpi who are running around looking for recruits vide #Agnipath “scheme” 😂 🙏- your role is now that of damage control only! Reduced to! As stated herein more than one year ago! March 21! https://t.co/Gg37ArSM1J
4978,"Agnipath recruitment rally: ‘Serving for 4 years is better than sitting unemployed at home’ @IndianExpress #Agniveer #AgniveerRecruitment2022 #Agnipath #Unemployment 

https://t.co/GsxosWqLrU"
4979,"@simply_mixed_up Similar to govt saying ""Hello Army, You Have No Rank No Pension now"" #AgnipathScheme 😄"
4980,"Having announced #Agnipath to reform the recruitment of soldiers, the government now needs to bring in a similar scheme to reform the officer cadre, which, given its size, structure &amp; age profile, is ripe for reform: @LaxmanKBehera &amp; @Vinay_AFkaushal https://t.co/6Y4KoHsch0"
4981,"@payyaboy @EkJindgi @adgpi @suryacommand @pushkardhami @LtGenGurmit @IASassociation @AshokKumar_IPS What about for those candidate who cleared physical and medical examination before #AgnipathScheme launched why government did this foolish activity, why they were in dark, why government invested in conducting the physical and medical test ❓❓"
4982,"All efforts, are being made to enlighten the youths regarding the scheme!! 

Nation awaits #Agniveers - The exceptional lot of #Indianarmy !
#AgnipathScheme https://t.co/LeVcK4dzgP"
4983,"An opportunity for the aspiring youths to take a step forward to serve the nation as Agniveers!! 

Best wishes to the aspirants 
#AgnipathScheme https://t.co/oExfRVrUMy"
4984,"Lt Gen Rana Pratap Kalita cleared notions pertaining to cross-border terrorism and the newly introduced #Agnipath scheme. (By @Suryavachan)

https://t.co/u39VqLkBIB"
4985,"Every day #JoinIndianArmy website's server down 👎. Everyday login problem, 
New registration is a far cry. 
Last date is coming and students are worried.
@adgpi @Tri_Services 
#IndianArmy 
#Agniveer #serverdown 
#HowToLogin ?"
4986,Such drives are necessary to counter the vested interest propaganda against the #AgnipathScheme and to properly motivate the youth to join the Indian Armed forces as #Agniveer. https://t.co/TsnQzH2hMv
4987,@NorthernComd_IA @adgpi @Whiteknight_IA @lg_ladakh @HQ_DG_NCC @PIBSrinagar @ani_digital #IndianArmy at forefront to clear all doubts of youth regarding #AgnipathScheme and motivating them to become a #Agniveer!!
4988,@NorthernComd_IA @adgpi @Whiteknight_IA @lg_ladakh @HQ_DG_NCC @PIBSrinagar @ani_digital Aspiring youth of #Jammu division must register themselves under #AgnipathScheme and become #Agniveer to serve in #Indian Defence Forces!!
4989,The #AgnipathScheme  is a beneficial opportunity for the youth to build a career in the Indian Armed Forces. Such awareness drives are necessary to clear prevailing misconceptions and inspire the youth. https://t.co/busnDzLLFP
4990,@SinghNavdeep @megirish2001 Hope #Agnipath also inculcates such values in our youngsters.
4991,"Justice for defence students conduct Army pending exam and airforce enrollment 🙏🇮🇳⚔️
#Agnipath 
@PMOIndia @DefenceMinIndia @narendramodi @rajnathsingh @ArvindKejriwal @AamAadmiParty @INCIndia @MamataOfficial @aajtak @ZeeNews @anjanaomkashyap @sudhirchaudhary @ravishndtv https://t.co/3E5zbvWFB3"
4992,"@Itz_Gekko @AnshumanSail They r already out. And if they r put in then see what happens to Feku n followers.
#Agniveer was a trailer"
4993,"This is not frustration , It's imotion for Army
Uttrakhand is one of the those state  where people depend on army for imployment ....
Speachless 🥺🥺
#AgnipathScheme 
@Umeshnni 
@RajatSharmaLive 
@varungandhi80 https://t.co/5GR26FRLf3"
4994,"@EkJindgi The video is not bringing out anything however the voice in video is alleging against @adgpi @suryacommand .
Submitted so that remedial action ,
if any taken for other #AgnipathScheme 
@pushkardhami @LtGenGurmit @IASassociation @AshokKumar_IPS"
4995,"Pre-Recruitment Training for the youth, who have applied for the #Agnipath scheme is being conducted at Army Camp Gund.
 #youthOfJandK
 #PreRecruitmentTraining
 #JoinIndianArmy 
@INDIANARMY14 https://t.co/8SFMkS3ksn"
4996,"#Punjab | An officer pointed out that the increase in the number of applicants could also be due to the relaxation in the upper age limit, from 21 to 23 years, for this year. @divya5521 #Agnipath
https://t.co/5jdBN48jMt"
4997,"#IndianArmy organised  Patriotic Song Singing Competition at Gund-I-Jahangir.
#Kupwara
#Kashmir
#IndependenceDay
#GreenForKashmir
#ProsperousKashmir
#NoTerrorismOnlyPeace 
#AmritMahotsav 
#AgnipathScheme https://t.co/AUMSMVHH2S"
4998,After #Agnipath Scheme India too may be confronted with a similar situation. Veterans keep your powder dry don’t know when the Nation may need you. https://t.co/J12o7cZWY9
4999,"@NorthernComd_IA @adgpi @Whiteknight_IA @lg_ladakh @HQ_DG_NCC @PIBSrinagar @ani_digital The Indian Army has always been a torch bearer!

The awareness campaigns being run by the Army on #AgnipathScheme has been invincible in busting the clouds of disinformation around the scheme and enlightened the youth on actual facts!"
5000,"#agnipathscheme is a ground breaking opportunity for the youth aspiring to serve in Armed forces as well as a transformative initiative that will provide a youthful profile to the armed forces..

@amritabhinder https://t.co/wZlyCHnUS3"
5001,"#IndianArmy organised awareness drive on #AgnipathScheme
for 210 #NCC Cadets from various parts of #JammuKashmir.
Online Registration commenced for the rally from 05 Aug to 03 Sep for aspiring youth of #JammuDivision. https://t.co/LhW7J0b7dE"
5002,"Three members of cycling team, visited JNV school, Canacona and gave a presentation on Indian Navy and Agniveer Scheme students of Class XI and XII. The presentation was to promote and motivate the youth to join Indian Navy.
#AzadiKaAmritMahotsav
#Agniveer
#IndianNavy https://t.co/W52kscaArV"
5003,"@AamAadmiParty @msisodia @Saurabh_MLAgk As the Central Agencies are too active against ""opposition members"" maybe before 2024 they will Hire some people (andh bhakt) for temporary basis like 
#agnipath #Agniveer"
5004,Ground Report #agnipathscheme https://t.co/pUxY0cs0GS
5005,"#IndianArmy #invites #applications for #Agniveer #Recruitment #Rally for ARO Jammu At #Jorawar Stadium, Sunjuwan #Military #Station, #Jammu for eligible #candidates of districts Udhampur, Rajouri, #Poonch #Reasi #Ramban #Doda #Kishtwar #Jammu #Samba  #Kathua 
@diprjk 
@dcramban https://t.co/zTpOpQ1adv"
5006,"#IndianArmy #invites #applications for #Agniveer #Recruitment #Rally for ARO Jammu At #Jorawar Stadium, Sunjuwan #Military #Station, #Jammu for eligible #candidates of districts Udhampur, Rajouri, #Poonch #Reasi #Ramban #Doda #Kishtwar #Jammu #Samba  #Kathua 
@diprjk 
@dcramban https://t.co/GqKtEcMqNP"
5007,"#Agnipath will help make India’s armed forces younger and #tech-savvy, and will free up precious resources that can be used for much-needed defence modernisation: @LaxmanKBehera &amp; @Vinay_AFkaushal https://t.co/gbpTmMmsMH"
5008,"#AROJammu with the assist of distt adm, Samba org an awareness drive on #AgnipathScheme
for Students of Govt College, Samba. Enthusiastic boys &amp; girls from Samba Distt attended &amp; clarified various entry &amp; application related queries abt the recruitment rally.
 #YouthEmpowerment https://t.co/L25hAoDlDN"
5009,"#Agnipath will help make India’s armed forces younger and #tech-savvy, and will free up precious resources that can be used for much-needed defence modernisation: @LaxmanKBehera &amp; @Vinay_AFkaushal https://t.co/6Y4KoHsch0"
5010,"#IndianArmy organised awareness drive on #AgnipathScheme
for 210 #NCC Cadets from various parts of #JammuKashmir.
Online Registration commenced for the rally from 05 Aug to 03 Sep for aspiring youth of #JammuDivision.

@adgpi 
@Whiteknight_IA 
@lg_ladakh 
@HQ_DG_NCC
@PIBSrinagar https://t.co/wRru87vUus"
5011,"The spirit of our youths in the #Agnipath training center is high. Leadership qualities being inculcated.
@narendramodi @BJP4India @BJP4Manipur @AShardaDevi 
#HamaraAppNamoApp https://t.co/CuyCIFCqiI"
5012,"INTERACTION WITH ESM  AT ARAGAM- 20 AUG 22
In continuation with the policy of constant touch and support to the veterans, an interaction with Ex Servicemen of the area was conducted by Aragam Army Camp. 
#agnipath
#standwithindianarmy
#stormythirteen https://t.co/UcTaaKkluk"
5013,"#Agnipath Recruitment Rally was held at #Hisar on 18 Aug 22. Lt Gen Vijay B.Nair,COS @westerncomd_IA witnessed the Recrt. rally under Maj Gen Ranjan Mahajan, ZRO #Ambala.

@adgpi @DefenceMinIndia @cmohry
@DiprHaryana @Hsr_dist_admn
@Ambala_DC @HQ_IDS_India https://t.co/m44cRWYr0h"
5014,"Another👇vital point to ponder as to how we are treating our Armed Forces.
@raghav_chadha
#Agniveer
#agnipathwapaslo
https://t.co/xYZp5V3iHR"
5015,I have pledged my support to #Agnipath for the Armed Forces. I am committed to spreading the correct information gathered from verified government sources. https://t.co/ssGgXipTQr via @mygovindia
5016,"@ABPNews Wah here also fake candidates!

#Agniveer #AgnipathScheme"
5017,"#Agnipath will help make India’s armed forces younger and #tech-savvy, and will free up precious resources that can be used for much-needed defence modernisation: @LaxmanKBehera &amp; @Vinay_AFkaushal https://t.co/GKZmdlzTb2"
5018,"#Agniveer #Uttarakhand #kotdwar 
Dream to serve our great nation. https://t.co/5chuxYahGi"
